Cadena,UPC,Descripcion,Formato,NumTienda,NomTienda,ID TIENDA,Tiempo,OH Piezas,IT Piezas
Chedraui,3538607,DON CHACHO CHICHARRON DE CHILE CUARESMEN,Supercito Selecto,551,28641 Supercito Selecto Cdmx Av. La Paz 05-24,CHE551,2025-05-29,26.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Cedis_Chedraui,402,Cedis Mexico Secos - Frescos 04-05,CHE402,2025-05-29,147.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,108,Chedraui Guadalajara Vallarta 12-08,CHE108,2025-05-29,3.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,126,Chedraui La Paz Palacio 05-10,CHE126,2025-05-29,5.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,128,Chedraui Cabo San Lucas 05-10,CHE128,2025-05-29,6.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,13,Chedraui Tuxtla Crystal 06-90,CHE13,2025-05-29,5.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,143,Chedraui Nuevo Vallarta 12-11,CHE143,2025-05-29,4.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,15,Chedraui Puebla Crystal 03-91,CHE15,2025-05-29,14.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,158,Chedraui Mexico Plaza Americas 07-12,CHE158,2025-05-29,7.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,169,Chedraui Oaxaca Xoxocotlan 12-15,CHE169,2025-05-29,4.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,176,Chedraui Bucerias 08-16,CHE176,2025-05-29,7.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,185,Chedraui Queretaro Paseo 09-18,CHE185,2025-05-29,2.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,19,Chedraui Xalapa Museo 11-92,CHE19,2025-05-29,16.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,199,Chedraui Playa Del Carmen Velamar 11-18,CHE199,2025-05-29,12.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,23,Chedraui Oaxaca La Noria 01-94,CHE23,2025-05-29,1.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,234,Chedraui Mexico Ajusco 04-05,CHE234,2025-05-29,19.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,236,Chedraui Mexico Mundo E 04-05,CHE236,2025-05-29,7.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,237,Chedraui Mexico Tenayuca 05-05,CHE237,2025-05-29,8.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,239,Chedraui Mexico Molina 05-05,CHE239,2025-05-29,-1.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,246,Chedraui Leon Campestre 05-05,CHE246,2025-05-29,3.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,250,Chedraui Aguascalientes Asuncion 05-05,CHE250,2025-05-29,2.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,264,Chedraui Puerto Vallarta Playa De Oro 09-20,CHE264,2025-05-29,13.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,267,Chedraui Celaya Campestre 09-20,CHE267,2025-05-29,9.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,28,Chedraui Tuxpan Crystal 04-02,CHE28,2025-05-29,9.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,58,Chedraui Cozumel Centro 12-98,CHE58,2025-05-29,4.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,615,Chedraui Huatulco 12-07,CHE615,2025-05-29,4.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,617,Chedraui Puerto Escondido 01-08,CHE617,2025-05-29,5.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,62,Chedraui Playa Del Carmen Centro 10-01,CHE62,2025-05-29,4.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,644,Chedraui Isla Mujeres 12-11,CHE644,2025-05-29,10.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,651,Chedraui Puerto Aventuras 12-10,CHE651,2025-05-29,13.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,69,Chedraui Chetumal Insurgentes 12-03,CHE69,2025-05-29,4.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,72,Chedraui San Cristobal San Roman 09-04,CHE72,2025-05-29,4.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,90,Chedraui Playa Del Carmen Americas 03-07,CHE90,2025-05-29,5.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui,99,Chedraui Oaxaca Reforma 09-11,CHE99,2025-05-29,7.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,106,Chedraui Selecto Mexico Toreo 04-15,CHE106,2025-05-29,5.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,127,Chedraui Selecto La Paz Colima 05-10,CHE127,2025-05-29,14.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,138,Chedraui Selecto Acapulco Diamante 09-11,CHE138,2025-05-29,2.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,139,Chedraui Selecto Veracruz El Dorado 11-12,CHE139,2025-05-29,9.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,153,Chedraui Selecto Tulum Ipae 10-11,CHE153,2025-05-29,18.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,174,Chedraui Selecto Mexico Fortuna 03-17,CHE174,2025-05-29,9.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,177,Chedraui Selecto Mexico Pedregal 11-18,CHE177,2025-05-29,14.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,178,Chedraui Selecto San Jose Del Cabo 11-17,CHE178,2025-05-29,13.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,186,Chedraui Selecto Qro Juriquilla 11-18,CHE186,2025-05-29,2.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,196,Chedraui Selecto Aguascalientes 05-20,CHE196,2025-05-29,11.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,231,Chedraui Selecto Mexico Interlomas 04-05,CHE231,2025-05-29,6.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,232,Chedraui Selecto Mexico Polanco 05-05,CHE232,2025-05-29,41.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,233,Chedraui Mexico Coapa 04-05,CHE233,2025-05-29,2.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,235,Chedraui Selecto Mexico Universidad 04-05,CHE235,2025-05-29,3.0,0.0
Chedraui,3538620,DON CHACHO CHICHARRON DE CHILE   SERRANO,Chedraui Selecto,24,Chedraui Selecto Villa Olmeca 10-94,CHE24,2025-05-29,3.0,0.0
